babel-plugin-syntax-async-functions,6.13.0,Unknown,MIT
babel-plugin-syntax-async-generators,6.13.0,Unknown,MIT
babel-plugin-syntax-class-properties,6.13.0,Unknown,MIT
babel-plugin-syntax-decorators,6.13.0,Unknown,MIT
babel-plugin-syntax-dynamic-import,6.18.0,Unknown,MIT
babel-plugin-syntax-exponentiation-operator,6.13.0,Unknown,MIT
babel-plugin-syntax-flow,6.18.0,Unknown,MIT
babel-plugin-syntax-jsx,6.18.0,Unknown,MIT
babel-plugin-syntax-object-rest-spread,6.13.0,Unknown,MIT
babel-plugin-syntax-trailing-function-commas,6.22.0,Unknown,MIT
babel-plugin-transform-async-generator-functions,6.24.1,Unknown,MIT
babel-plugin-transform-async-to-generator,6.24.1,Unknown,MIT
babel-plugin-transform-class-properties,6.24.1,Unknown,MIT
babel-plugin-transform-decorators,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-arrow-functions,6.22.0,Unknown,MIT
babel-plugin-transform-es2015-block-scoped-functions,6.22.0,Unknown,MIT
babel-plugin-transform-es2015-block-scoping,6.26.0,Unknown,MIT
babel-plugin-transform-es2015-classes,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-computed-properties,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-destructuring,6.23.0,Unknown,MIT
babel-plugin-transform-es2015-duplicate-keys,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-for-of,6.23.0,Unknown,MIT
babel-plugin-transform-es2015-function-name,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-literals,6.22.0,Unknown,MIT
babel-plugin-transform-es2015-modules-amd,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-modules-commonjs,6.26.2,Unknown,MIT
babel-plugin-transform-es2015-modules-systemjs,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-modules-umd,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-object-super,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-parameters,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-shorthand-properties,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-spread,6.22.0,Unknown,MIT
babel-plugin-transform-es2015-sticky-regex,6.24.1,Unknown,MIT
babel-plugin-transform-es2015-template-literals,6.22.0,Unknown,MIT
babel-plugin-transform-es2015-typeof-symbol,6.23.0,Unknown,MIT
babel-plugin-transform-es2015-unicode-regex,6.24.1,Unknown,MIT
babel-plugin-transform-exponentiation-operator,6.24.1,Unknown,MIT
babel-plugin-transform-flow-strip-types,6.22.0,Unknown,MIT
babel-plugin-transform-object-rest-spread,6.26.0,Unknown,MIT
babel-plugin-transform-react-display-name,6.25.0,Unknown,MIT
babel-plugin-transform-react-jsx,6.24.1,Unknown,MIT
babel-plugin-transform-react-jsx-self,6.22.0,Unknown,MIT
babel-plugin-transform-react-jsx-source,6.22.0,Unknown,MIT
babel-plugin-transform-regenerator,6.26.0,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator,MIT
babel-plugin-transform-runtime,6.23.0,Unknown,MIT
babel-plugin-transform-strict-mode,6.24.1,Unknown,MIT
babel-polyfill,6.23.0,https://babeljs.io/,MIT
babel-preset-env,1.7.0,https://babeljs.io/,MIT
babel-preset-es2015,6.24.1,https://babeljs.io/,MIT
babel-preset-flow,6.23.0,Unknown,MIT
babel-preset-react,6.24.1,https://babeljs.io/,MIT
babel-preset-stage-2,6.24.1,https://babeljs.io/,MIT
babel-preset-stage-3,6.24.1,https://babeljs.io/,MIT
babel-regenerator-runtime,6.5.0,https://github.com/babel/babel/tree/master/packages/babel-regenerator-runtime,Simplified BSD
babel-register,6.26.0,Unknown,MIT
babel-runtime,6.26.0,Unknown,MIT
babel-template,6.26.0,https://babeljs.io/,MIT
babel-traverse,6.26.0,https://babeljs.io/,MIT
babel-types,6.26.0,https://babeljs.io/,MIT
babelify,7.3.0,https://github.com/babel/babelify,MIT
babylon,6.18.0,https://babeljs.io/,MIT
babylon,7.0.0-beta.44,https://babeljs.io/,MIT
backo2,1.0.2,Unknown,MIT
backports,3.11.4,http://github.com/marcandre/backports,MIT
balanced-match,0.1.0,https://github.com/juliangruber/balanced-match,MIT
balanced-match,0.4.2,https://github.com/juliangruber/balanced-match,MIT
balanced-match,1.0.0,https://github.com/juliangruber/balanced-match,MIT
base,0.11.2,https://github.com/node-base/base,MIT
base64-arraybuffer,0.1.5,https://github.com/niklasvh/base64-arraybuffer,MIT
base64-js,1.3.0,https://github.com/beatgammit/base64-js,MIT
